iter	Passed	Remaining
834	1273	251
835	1275	250
836	1276	248
837	1278	247
838	1280	245
839	1281	244
840	1283	242
841	1284	241
842	1286	239
843	1287	238
844	1289	236
845	1291	235
846	1292	233
847	1294	231
848	1295	230
849	1297	228
850	1299	227
851	1300	225
852	1302	224
853	1303	222
854	1305	221
855	1306	219
856	1308	218
857	1309	216
858	1311	215
859	1312	213
860	1314	212
861	1315	210
862	1317	209
863	1318	207
864	1320	206
865	1321	204
866	1323	203
867	1325	201
868	1326	199
869	1328	198
870	1329	196
871	1331	195
872	1332	193
873	1334	192
874	1335	190
875	1337	189
876	1338	187
877	1340	186
878	1341	184
879	1343	183
880	1344	181
881	1345	180
882	1347	178
883	1348	177
884	1350	175
885	1351	173
886	1353	172
887	1354	170
888	1356	169
889	1357	167
890	1359	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1367	158
896	1368	157
897	1370	155
898	1371	154
899	1373	152
900	1374	151
901	1376	149
902	1377	148
903	1379	146
904	1380	144
905	1382	143
906	1383	141
907	1385	140
908	1387	138
909	1388	137
910	1389	135
911	1390	134
912	1392	132
913	1393	131
914	1395	129
915	1396	128
916	1398	126
917	1399	125
918	1401	123
919	1403	122
920	1404	120
921	1405	118
922	1407	117
923	1409	115
924	1410	114
925	1412	112
926	1413	111
927	1415	109
928	1416	108
929	1418	106
930	1419	105
931	1421	103
932	1422	102
933	1424	100
934	1425	99
935	1427	97
936	1428	96
937	1430	94
938	1431	93
939	1433	91
940	1434	89
941	1436	88
942	1437	86
943	1439	85
944	1441	83
945	1442	82
946	1444	80
947	1445	79
948	1447	77
949	1448	76
950	1450	74
951	1452	73
952	1453	71
953	1455	70
954	1456	68
955	1458	67
956	1459	65
957	1461	64
958	1462	62
959	1464	61
960	1466	59
961	1467	57
962	1469	56
963	1470	54
964	1472	53
965	1473	51
966	1475	50
967	1477	48
968	1478	47
969	1480	45
970	1481	44
971	1482	42
972	1484	41
973	1486	39
974	1487	38
975	1489	36
976	1490	35
977	1492	33
978	1493	32
979	1495	30
980	1496	28
981	1498	27
982	1499	25
983	1501	24
984	1503	22
985	1504	21
986	1506	19
987	1507	18
988	1509	16
989	1510	15
990	1512	13
991	1513	12
992	1515	10
993	1516	9
994	1518	7
995	1519	6
996	1521	4
997	1522	3
998	1524	1
999	1526	0
